,openEuler_2209,openEuler_2203,advanced_riscv64
fluidsynth,succeeded,succeeded,succeeded
fmpp,succeeded,succeeded,succeeded
fmt,succeeded,succeeded,
folks,succeeded,succeeded,failed
fontawesome-fonts,succeeded,succeeded,succeeded
fontconfig,succeeded,succeeded,succeeded
fontforge,succeeded,succeeded,succeeded
fonts-rpm-macros,succeeded,succeeded,succeeded
fonts-tweak-tool,succeeded,succeeded,failed
foomatic,succeeded,succeeded,succeeded
foomatic-db,succeeded,succeeded,failed
fop,succeeded,succeeded,failed
forbidden-apis,succeeded,succeeded,failed
forge-parent,succeeded,succeeded,failed
fpaste,succeeded,succeeded,succeeded
fping,succeeded,succeeded,succeeded
fprintd,succeeded,succeeded,succeeded
freeglut,succeeded,succeeded,succeeded
freeipmi,succeeded,succeeded,succeeded
freemarker,succeeded,succeeded,succeeded
freeradius,succeeded,succeeded,succeeded
freerdp,succeeded,succeeded,succeeded
freetds,succeeded,succeeded,failed
freetype,succeeded,succeeded,succeeded
freexl,succeeded,succeeded,succeeded
frei0r-plugins,succeeded,succeeded,succeeded
fribidi,succeeded,succeeded,succeeded
fros,succeeded,succeeded,succeeded
ftgl,succeeded,succeeded,succeeded
ftp,succeeded,succeeded,succeeded
fuse,succeeded,succeeded,succeeded
fuse-python,succeeded,succeeded,succeeded
fuse3,succeeded,succeeded,succeeded
fusesource-pom,succeeded,succeeded,failed
future,succeeded,succeeded,succeeded
fwupd,succeeded,succeeded,succeeded
fxload,succeeded,succeeded,succeeded
galera,succeeded,succeeded,succeeded
game-music-emu,succeeded,succeeded,succeeded
ganglia,succeeded,succeeded,succeeded
gavl,succeeded,succeeded,succeeded
gawk,succeeded,succeeded,unresolvable
gazelle,unresolvable,,
gc,succeeded,succeeded,succeeded
gcab,succeeded,succeeded,failed
gcc,succeeded,succeeded,succeeded
gcc_secure,succeeded,succeeded,succeeded
gcr,succeeded,succeeded,failed
gd,succeeded,succeeded,succeeded
gdb,succeeded,succeeded,unresolvable
gdbm,succeeded,succeeded,succeeded
gdbus-codegen-glibmm,succeeded,succeeded,failed
gdisk,succeeded,succeeded,succeeded
gdk-pixbuf-xlib,succeeded,,
gdk-pixbuf2,succeeded,succeeded,failed
gdm,succeeded,succeeded,failed
gegl04,succeeded,succeeded,unresolvable
genwqe-tools,succeeded,succeeded,succeeded
geoclue2,succeeded,succeeded,failed
geocode-glib,succeeded,succeeded,failed
geolatte-geom,succeeded,succeeded,succeeded
geos,succeeded,succeeded,failed
geronimo-annotation,succeeded,succeeded,failed
geronimo-commonj,succeeded,succeeded,succeeded
geronimo-ejb,succeeded,succeeded,succeeded
geronimo-interceptor,succeeded,succeeded,succeeded
geronimo-jaspic-spec,succeeded,succeeded,succeeded
geronimo-jaxrpc,succeeded,succeeded,succeeded
geronimo-jcache,succeeded,succeeded,succeeded
geronimo-jcdi-1.0-api,succeeded,succeeded,succeeded
geronimo-jms,succeeded,succeeded,failed
geronimo-jpa,succeeded,succeeded,failed
geronimo-jta,succeeded,succeeded,failed
geronimo-osgi-support,succeeded,succeeded,succeeded
geronimo-parent-poms,succeeded,succeeded,failed
geronimo-saaj,succeeded,succeeded,succeeded
geronimo-validation,succeeded,succeeded,
gettext,succeeded,succeeded,failed
gfbgraph,succeeded,succeeded,succeeded
gflags,succeeded,succeeded,succeeded
gfs2-utils,succeeded,succeeded,succeeded
ghostscript,succeeded,succeeded,succeeded
gi-docgen,succeeded,succeeded,
giflib,succeeded,succeeded,succeeded
gimp,succeeded,succeeded,unresolvable
git,succeeded,succeeded,failed
git-tools,succeeded,succeeded,succeeded
gjs,succeeded,succeeded,unresolvable
gl-manpages,succeeded,succeeded,succeeded
gl2ps,succeeded,succeeded,succeeded
glade,succeeded,succeeded,failed
glassfish-annotation-api,succeeded,succeeded,failed
glassfish-dtd-parser,succeeded,succeeded,succeeded
glassfish-ejb-api,succeeded,succeeded,succeeded
glassfish-fastinfoset,succeeded,succeeded,succeeded
glassfish-gmbal,succeeded,succeeded,succeeded
glassfish-hk2,succeeded,succeeded,failed
glassfish-jax-rs-api,succeeded,succeeded,failed
glassfish-jaxb,succeeded,succeeded,succeeded
glassfish-jaxb-api,succeeded,succeeded,succeeded
glassfish-jaxrpc-api,succeeded,succeeded,succeeded
glassfish-jsp,succeeded,succeeded,succeeded
glassfish-jsp-api,succeeded,succeeded,failed
glassfish-legal,succeeded,succeeded,failed
glassfish-management-api,succeeded,succeeded,succeeded
glassfish-master-pom,succeeded,succeeded,failed
glassfish-pfl,succeeded,succeeded,succeeded
glassfish-servlet-api,succeeded,succeeded,failed
glassfish-toplink-essentials,succeeded,succeeded,succeeded
glassfish-transaction-api,succeeded,succeeded,succeeded
glassfish-websocket-api,succeeded,succeeded,succeeded
glew,succeeded,succeeded,succeeded
glib,succeeded,succeeded,succeeded
glib-networking,succeeded,succeeded,unresolvable
glib2,succeeded,succeeded,unresolvable
